sno,observationdate,province/state,country/region,last update,confirmed,deaths,recovered
13,01/22/2020,Hong Kong,Hong Kong,1/22/2020 17:00,0,0,0
53,01/23/2020,Hong Kong,Hong Kong,1/23/20 17:00,2,0,0
114,01/24/2020,Hong Kong,Hong Kong,1/24/20 17:00,2,0,0
156,01/25/2020,Hong Kong,Hong Kong,1/25/20 17:00,5,0,0
201,01/26/2020,Hong Kong,Hong Kong,1/26/20 16:00,8,0,0
252,01/27/2020,Hong Kong,Hong Kong,1/27/20 23:59,8,0,0
310,01/28/2020,Hong Kong,Hong Kong,1/28/20 23:00,8,0,0
361,01/29/2020,Hong Kong,Hong Kong,1/29/20 19:30,10,0,0
419,01/30/2020,Hong Kong,Hong Kong,1/30/20 16:00,10,0,0
479,01/31/2020,Hong Kong,Hong Kong,1/31/2020 23:59,12,0,0
546,02/01/2020,Hong Kong,Hong Kong,2/1/2020 5:37,13,0,0
615,02/02/2020,Hong Kong,Hong Kong,2020-02-02T23:53:02,15,0,0
684,02/03/2020,Hong Kong,Hong Kong,2020-02-02T23:53:02,15,0,0
754,02/04/2020,Hong Kong,Hong Kong,2020-02-04T09:03:02,17,1,0
826,02/05/2020,Hong Kong,Hong Kong,2020-02-05T13:13:10,21,1,0
899,02/06/2020,Hong Kong,Hong Kong,2020-02-06T14:43:02,24,1,0
971,02/07/2020,Hong Kong,Hong Kong,2020-02-07T11:53:02,25,1,0
1046,02/08/2020,Hong Kong,Hong Kong,2020-02-08T00:03:07,26,1,0
1120,02/09/2020,Hong Kong,Hong Kong,2020-02-09T09:53:02,29,1,0
1193,02/10/2020,Hong Kong,Hong Kong,2020-02-10T10:13:06,38,1,0
1266,02/11/2020,Hong Kong,Hong Kong,2020-02-11T09:43:02,49,1,0
1341,02/12/2020,Hong Kong,Hong Kong,2020-02-12T09:53:02,50,1,1
1417,02/13/2020,Hong Kong,Hong Kong,2020-02-13T14:53:02,53,1,1
1493,02/14/2020,Hong Kong,Hong Kong,2020-02-14T09:03:12,56,1,1
1570,02/15/2020,Hong Kong,Hong Kong,2020-02-14T09:03:12,56,1,1
1648,02/16/2020,Hong Kong,Hong Kong,2020-02-16T09:53:01,57,1,2
1725,02/17/2020,Hong Kong,Hong Kong,2020-02-17T22:53:01,60,1,2
1802,02/18/2020,Hong Kong,Hong Kong,2020-02-18T23:43:02,62,1,2
1879,02/19/2020,Hong Kong,Hong Kong,2020-02-19T12:13:08,63,2,5
1958,02/20/2020,Hong Kong,Hong Kong,2020-02-20T23:13:05,68,2,6
2036,02/21/2020,Hong Kong,Hong Kong,2020-02-21T03:43:02,68,2,5
2122,02/22/2020,Hong Kong,Hong Kong,2020-02-22T13:23:05,69,2,6
2208,02/23/2020,Hong Kong,Hong Kong,2020-02-23T09:53:02,74,2,11
2293,02/24/2020,Hong Kong,Hong Kong,2020-02-24T11:23:06,79,2,19
2386,02/25/2020,Hong Kong,Hong Kong,2020-02-25T09:43:02,84,2,19
2481,02/26/2020,Hong Kong,Hong Kong,2020-02-26T23:43:02,91,2,24
2584,02/27/2020,Hong Kong,Hong Kong,2020-02-27T09:53:02,92,2,24
2689,02/28/2020,Hong Kong,Hong Kong,2020-02-28T10:03:12,94,2,30
2807,02/29/2020,Hong Kong,Hong Kong,2020-02-29T23:53:02,95,2,33
2929,03/01/2020,Hong Kong,Hong Kong,2020-03-01T14:33:16,96,2,36
3057,03/02/2020,Hong Kong,Hong Kong,2020-03-02T23:53:02,100,2,36
3200,03/03/2020,Hong Kong,Hong Kong,2020-03-03T11:53:01,100,2,37
3353,03/04/2020,Hong Kong,Hong Kong,2020-03-04T23:23:01,105,2,37
3517,03/05/2020,Hong Kong,Hong Kong,2020-03-05T00:23:07,105,2,43
3696,03/06/2020,Hong Kong,Hong Kong,2020-03-06T23:13:06,107,2,46
3898,03/07/2020,Hong Kong,Hong Kong,2020-03-07T10:13:22,108,2,51
4125,03/08/2020,Hong Kong,Hong Kong,2020-03-08T14:43:03,114,3,58
4384,03/09/2020,Hong Kong,Hong Kong,2020-03-09T10:03:17,115,3,59
4656,03/10/2020,Hong Kong,Hong Kong,2020-03-10T23:53:02,120,3,65
4865,03/11/2020,Hong Kong,Hong Kong,2020-03-11T18:52:03,126,3,65
5083,03/12/2020,Hong Kong,Hong Kong,2020-03-12T01:53:02,129,3,67
5278,03/13/2020,Hong Kong,Hong Kong,2020-03-13T13:33:03,134,4,77
5540,03/14/2020,Hong Kong,Hong Kong,2020-03-14T12:53:06,140,4,78
5791,03/15/2020,Hong Kong,Hong Kong,2020-03-15T18:20:18,145,4,81
6060,03/16/2020,Hong Kong,Hong Kong,2020-03-16T14:38:45,155,4,84
6341,03/17/2020,Hong Kong,Hong Kong,2020-03-17T10:13:11,162,4,88
6620,03/18/2020,Hong Kong,Hong Kong,2020-03-18T09:33:05,181,4,92
6911,03/19/2020,Hong Kong,Hong Kong,2020-03-19T09:53:20,208,4,95
7204,03/20/2020,Hong Kong,Hong Kong,2020-03-20T09:43:03,256,4,98
7511,03/21/2020,Hong Kong,Hong Kong,2020-03-21T09:13:14,273,4,98
7948,03/22/2020,Hong Kong,Hong Kong,3/8/20 5:31,317,4,100
8250,03/23/2020,Hong Kong,Hong Kong,2020-03-23 23:23:20,356,4,100
8551,03/24/2020,Hong Kong,Hong Kong,2020-03-24 23:41:50,386,4,101
8858,03/25/2020,Hong Kong,Hong Kong,2020-03-25 23:37:49,410,4,102
9167,03/26/2020,Hong Kong,Hong Kong,2020-03-26 23:53:24,453,4,110
9479,03/27/2020,Hong Kong,Hong Kong,2020-03-27 23:27:48,519,4,110
9794,03/28/2020,Hong Kong,Hong Kong,3/8/20 5:31,561,4,112
10110,03/29/2020,Hong Kong,Hong Kong,3/8/20 5:31,641,4,112
10427,03/30/2020,Hong Kong,Hong Kong,3/8/20 5:31,682,4,123
10745,03/31/2020,Hong Kong,Hong Kong,2020-03-31 23:49:27,714,4,128
11063,04/01/2020,Hong Kong,Hong Kong,2020-04-01 22:04:58,765,4,147
11383,04/02/2020,Hong Kong,Hong Kong,4/2/20 8:53,802,4,147
11703,04/03/2020,Hong Kong,Hong Kong,2020-04-03 22:52:45,845,4,173
12024,04/04/2020,Hong Kong,Hong Kong,4/4/20 9:38,862,4,173
12346,04/05/2020,Hong Kong,Hong Kong,2020-04-05 23:13:44,890,4,206
12670,04/06/2020,Hong Kong,Hong Kong,4/6/20 9:37,914,4,216
12994,04/07/2020,Hong Kong,Hong Kong,2020-04-07 23:11:31,935,4,216
13318,04/08/2020,Hong Kong,Hong Kong,2020-04-08 22:59:00,960,4,264
13642,04/09/2020,Hong Kong,Hong Kong,2020-04-09 23:09:19,973,4,293
13967,04/10/2020,Hong Kong,Hong Kong,2020-04-10 23:01:43,989,4,309
14292,04/11/2020,Hong Kong,Hong Kong,2020-04-11 22:52:46,1000,4,336
14616,04/12/2020,Hong Kong,Hong Kong,2020-04-12 23:25:00,1004,4,360
14940,04/13/2020,Hong Kong,Hong Kong,2020-04-13 23:15:42,1009,4,360
15264,04/14/2020,Hong Kong,Hong Kong,2020-04-14 23:41:11,1012,4,434
15588,04/15/2020,Hong Kong,Hong Kong,2020-04-15 23:04:26,1017,4,459
15912,04/16/2020,Hong Kong,Hong Kong,2020-04-16 23:38:19,1017,4,485
16236,04/17/2020,Hong Kong,Hong Kong,2020-04-17 23:38:48,1021,4,533
16560,04/18/2020,Hong Kong,Hong Kong,2020-04-18 22:40:18,1024,4,568
16884,04/19/2020,Hong Kong,Hong Kong,2020-04-19 23:49:05,1025,4,602
17208,04/20/2020,Hong Kong,Hong Kong,2020-04-20 23:44:50,1025,4,630
17532,04/21/2020,Hong Kong,Hong Kong,2020-04-21 23:39:09,1029,4,650
17855,04/22/2020,Hong Kong,Hong Kong,2020-04-22 23:38:57,1033,4,678
18179,04/23/2020,Hong Kong,Hong Kong,2020-04-24 03:31:35,1035,4,699
18503,04/24/2020,Hong Kong,Hong Kong,2020-04-25 06:31:19,1035,4,725
18824,04/25/2020,Hong Kong,Hong Kong,2020-04-26 02:31:18,1037,4,753
19145,04/26/2020,Hong Kong,Hong Kong,2020-04-27 02:31:20,1037,4,772
19467,04/27/2020,Hong Kong,Hong Kong,2020-04-28 02:31:20,1037,4,787
19792,04/28/2020,Hong Kong,Hong Kong,2020-04-29 02:32:29,1037,4,811
20117,04/29/2020,Hong Kong,Hong Kong,2020-04-30 02:32:27,1037,4,830
20444,04/30/2020,Hong Kong,Hong Kong,2020-05-01 02:32:28,1037,4,846
20771,05/01/2020,Hong Kong,Hong Kong,2020-05-02 02:32:27,1039,4,859
21098,05/02/2020,Hong Kong,Hong Kong,2020-05-03 02:32:28,1039,4,864
21425,05/03/2020,Hong Kong,Hong Kong,2020-05-04 02:32:28,1039,4,879
21752,05/04/2020,Hong Kong,Hong Kong,2020-05-05 02:32:34,1040,4,900
22079,05/05/2020,Hong Kong,Hong Kong,2020-05-06 02:32:31,1040,4,920
22406,05/06/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1040,4,932
22733,05/07/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1044,4,944
23060,05/08/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1044,4,960
23387,05/09/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1044,4,967
23714,05/10/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1047,4,982
24041,05/11/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1047,4,985
24368,05/12/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1047,4,991
24696,05/13/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1050,4,1008
25047,05/14/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1051,4,1009
25428,05/15/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1052,4,1019
25809,05/16/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1052,4,1022
26190,05/17/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1055,4,1024
26571,05/18/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1055,4,1025
26952,05/19/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1055,4,1025
27360,05/20/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1055,4,1025
27816,05/21/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1055,4,1025
28272,05/22/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1065,4,1029
28728,05/23/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1065,4,1029
29184,05/24/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1065,4,1030
29640,05/25/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1065,4,1030
30096,05/26/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1065,4,1033
30552,05/27/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1066,4,1034
31040,05/28/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1066,4,1035
31598,05/29/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1079,4,1035
32156,05/30/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1082,4,1036
32715,05/31/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1084,4,1037
33293,06/01/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1087,4,1037
33960,06/02/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1093,4,1038
34628,06/03/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1093,4,1039
35296,06/04/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1099,4,1042
35968,06/05/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1102,4,1045
36656,06/06/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1105,4,1048
37344,06/07/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1106,4,1049
38033,06/08/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1107,4,1049
38721,06/09/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1107,4,1050
39423,06/10/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1107,4,1051
40152,06/11/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1107,4,1055
40885,06/12/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1108,4,1060
41618,06/13/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1109,4,1061
42351,06/14/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1109,4,1067
43084,06/15/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1112,4,1067
43817,06/16/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1112,4,1069
44550,06/17/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1120,4,1071
45283,06/18/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1124,4,1072
46016,06/19/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1124,4,1072
46749,06/20/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1128,5,1077
47482,06/21/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1131,5,1078
48215,06/22/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1161,5,1078
48948,06/23/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1177,6,1083
49681,06/24/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1179,6,1086
50414,06/25/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1193,7,1088
51147,06/26/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1196,7,1091
51880,06/27/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1197,7,1095
52613,06/28/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1199,7,1104
53346,06/29/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1203,7,1105
54079,06/30/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1205,7,1107
54812,07/01/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1233,7,1117
55545,07/02/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1242,7,1120
56278,07/03/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1247,7,1125
57011,07/04/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1258,7,1145
57744,07/05/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1268,7,1156
58477,07/06/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1285,7,1157
59210,07/07/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1299,7,1161
59943,07/08/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1323,7,1167
60676,07/09/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1365,7,1167
61409,07/10/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1365,7,1167
62142,07/11/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1431,7,1197
62875,07/12/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1469,7,1214
63608,07/13/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1469,7,1214
64341,07/14/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1569,8,1229
65074,07/15/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1588,10,1241
65807,07/16/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1655,10,1254
66544,07/17/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1655,10,1254
67289,07/18/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1655,10,1254
68035,07/19/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1655,10,1254
68781,07/20/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1655,10,1254
69527,07/21/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,1655,10,1254
70273,07/22/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,2131,14,1344
71019,07/23/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,2249,15,1379
71765,07/24/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,2372,16,1407
72511,07/25/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,2505,18,1455
73257,07/26/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,2633,18,1495
74003,07/27/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,2778,22,1486
74749,07/28/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,2884,23,1527
75496,07/29/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,3002,24,1591
76243,07/30/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,3151,25,1660
76990,07/31/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,3272,27,1751
77737,08/01/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,3396,33,1858
78484,08/02/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,3511,35,1959
79231,08/03/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,3589,38,2037
79978,08/04/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,3669,42,2141
80725,08/05/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,3754,43,2314
81472,08/06/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,3849,46,2458
82219,08/07/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,3938,47,2620
82966,08/08/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4007,47,2755
83713,08/09/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4079,52,2847
84460,08/10/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4148,55,2917
85207,08/11/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4181,59,3052
85953,08/12/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4243,63,3189
86699,08/13/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4312,66,3295
87445,08/14/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4360,67,3392
88191,08/15/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4406,69,3488
88937,08/16/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4480,69,3549
89683,08/17/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4524,69,3599
90429,08/18/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4560,71,3677
91175,08/19/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4586,72,3779
91921,08/20/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4604,75,3827
92667,08/21/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4631,75,3900
93413,08/22/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4657,77,3974
94159,08/23/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4682,77,4018
94905,08/24/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4691,77,4052
95651,08/25/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4710,78,4108
96397,08/26/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4734,79,4161
97143,08/27/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4755,81,4200
97889,08/28/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4768,84,4249
98635,08/29/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4786,87,4287
99381,08/30/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4801,88,4320
100127,08/31/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4810,89,4342
100873,09/01/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4822,90,4380
101619,09/02/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4830,93,4401
102365,09/03/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4838,94,4431
103111,09/04/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4850,94,4456
103857,09/05/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4857,94,4493
104603,09/06/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4878,96,4511
105349,09/07/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4889,98,4524
106095,09/08/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4895,99,4543
106841,09/09/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4901,99,4557
107587,09/10/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4913,99,4582
108333,09/11/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4925,99,4598
109079,09/12/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4938,100,4613
109825,09/13/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4957,100,4630
110571,09/14/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4971,101,4635
111317,09/15/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4975,102,4646
112063,09/16/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4984,102,4663
112809,09/17/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4993,102,4682
113555,09/18/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,4996,103,4696
114301,09/19/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,5009,103,4708
115047,09/20/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,5032,103,4712
115793,09/21/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,5038,103,4717
116540,09/22/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,5046,103,4729
117287,09/23/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,5049,104,4749
118034,09/24/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,5056,104,4758
118781,09/25/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,5058,105,4765
119528,09/26/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,5059,105,4777
120275,09/27/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,5065,105,4786
121022,09/28/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,5075,105,4790
121769,09/29/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,5079,105,4807
122516,09/30/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,5087,105,4827
123263,10/01/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,5097,105,4837
124010,10/02/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,5104,105,4843
124757,10/03/2020,Hong Kong,Hong Kong,2021-04-02 15:13:53,5108,105,4849
